operator,operator_address,date_established,families_served,Longtitude,Latitude
B-LGU,"Brgy. Managa, Bansalan, Davao del Sur",10/30/2008,300,125.238132,6.753175
Lower Marber Irrigators Cooperative,"Brgy. New Clarin, Bansalan, Davao del Sur",11/14/2008,-,125.195506,6.789476
Haguimitan Integrated Cooperative (HICO),"Purok 1 Haguimitan Monkayo, Compostela Valley",12/7/2010,993,126.067429,7.84863
Dynamic Vegetable Growers Association ,"Purok 4, Matina Biao, Davao City",3/4/2010,10000,125.53957,7.138793
Pasian Livelihood Ladies Cooperative ,"Purok 1A Pasian Monkayo, Compostela Valley",11/1/2011,10000,126.076477,7.924216
Nabok Development Cooperative,"Nabok, Monkayo, Compostela Valley",5/28/2011,1147,126.100211,7.746171
Rizal United Farmers Communal Irrigators Association,"Brgy. Rizal, Monkayo, Compostela Valley",5/28/2011,976,126.121947,7.889409
San Isidro Samahang Nayon PrimaryMultipurpose Cooperative,"San Isidro,Nabunturan, Compostela Valley",9/1/2010,250,125.965242,7.603537
B-LGU,"Brgy. Ban-ao,  Baganga Davao Oriental",7/27/2010,922,126.537094,7.633075
BFT Lamiawan FarmersÍ Vendors Association,"Brgy. Lamiawan, Caraga, Davao Oriental",3/5/2010,432,126.541901,7.31752
B-LGU,Brgy. San Jose Caraga Davao Oriental,9/1/2010,805,126.541901,7.31752
San Isidro Multi-Purpose Farmers Association,Brgy. San Isidro Baganga Davao Oriental,12/10/2009,2376,126.537094,7.633075
B-LGU,Brgy. Mahan-ub Baganga Davao Oriental,1/27/2010,942,126.537094,7.633075
Badian Resource Development MPC (BREVAMCO)  ,"Brgy. Banhigan, Badian, Cebu ",10/28/2011,2833,123.526607,9.865569
Brgy. LGU ,"Brgy. Rizal, Pilar, Bohol ",8/8/2010,1330,124.33255,9.836442
Alcantara Government Workers MPC ,"Brgy. Poblacion, Alcantara,Cebu ",7/28/2009,2464,123.404509,9.97095
Brgy. LGU ,"Brgy. San Isidro, San Fernando, Cebu ",2/21/2012,10987,123.721453,10.176323
Brgy. LGU ,"Brgy. Balud, San Fernando, Cebu  ",9/8/2011,5417,123.694825,10.14816
ALTAMCO (Alang sa Tanan MPC) ,"Brgy. Olo, Siquijor ",7/21/2009,4655,123.551808,9.215145
Cambinocot Multi-Purpose Cooperative ,"Brgy. Cambinocot, Cebu City ",10/10/2015,159762,123.902511,10.465623
MLGU thru MAO Rene Amores ,"Brgy. Poblacion, San Jose, Negros Oriental ",4/13/2011,3450,123.240538,9.412797
Cadena De Amor Rural Improvement Club ,"Brgy. Talisay, Daan Bantayan, Cebu City ",7/8/2009,14651,124.055789,11.244905
Catibes II Guba Farmers Association ,"Brgy. Mambaling, Cebu City ",8/26/2009,2500,123.879517,10.287282
Little Salvacion MPC ,"Brgy. Candaping, Maria, Siquijor ",3/9/2011,2595,123.658135,9.163537
Kalubihan Riverside MPC (KARIMCO) ,"Brgy. Sambag II, Cebu City ",12/7/2007,16543,123.890657,10.305902
MLGU ,"Brgy. Poblacion, Guindulman, Bohol ",3/25/2011,6471,124.494086,9.819195
BLGU ,"Brgy. Camangki, Enrique Villanueva, Siquijor ",11/12/2010,1176,123.636909,9.265457
Active Beginners Club ,"Brgy. North Poblaciong, Larena, Siquijor ",11/11/2011,1800,123.590995,9.24915
Mabuhay Small Fisherman Association  ,"Brgy. Mabuhay, Sto. Catalina, Negros Oriental ",12/10/2010,14526,122.943767,9.28676
BLGU ,"Brgy. Campalanas, Lazi, Siquijor ",3/10/2011,1300,123.570004,9.11445
KASANAG Credit Coop ,"Brgy. Poblacion, Guihulngan, Negros Oriental",12/8/2010,53771,123.2677,10.127061
Catulayan Community MPC ,"Brgy. Catulayan, San Juan, Siquijor ",11/11/2010,2636,123.542008,9.131632
Valencia Community Development Coop ,"Brgy. Cadiocan, Valencia, Negros Oriental ",11/19/2010,5587,123.191372,9.281043
Brgy. Council ,"Brgy. Tumalalod, Dumarao, Capiz ",5/12/2015,424,122.760201,11.241126
MLGU ,"Numancia Public Market,Numancia, Aklan ",4/14/2010,5514,121.941261,10.748907
MLGU ,"Trade Town Public Market, San Jose de Buena ViSto., Antique ",12/8/2008,9652,121.934867,10.755725
Brgy. Council ,"Brgy. San Pedro, San Jose de BuenaviSto., Antique ",10/15/2007,2340,121.95112,10.805959
MLGU ,"Sebaste Public Market, Antique ",4/12/2011,2232,122.096735,11.59234
Brgy. Council ,"Brgy. Poblacion,Moises Padilla ",11/1/2011,2882,123.083336,10.266666
Brgy. Council ,"Brgy. Tanza, E.B. Magalona, Negros Occ. ",2/12/2015,4200,123.083336,10.266666
Brgy. Council ,"Brgy. Talento, Tubungan, Iloilo ",9/1/2010,327,122.294998,10.798909
Brgy. Council ,"Brgy. Jolason, Tubungan, Iloilo ",9/1/2010,314,122.29929,10.783564
MLGU c/o MAO and Municipal Planning,"Brgy. Igmaya-an, Don Salvador Benedicto, Negros Occidental ",2/1/2012,4177,123.185829,10.566926
Brgy. Council ,"Brgy. Navillan, Tubungan, Iloilo ",9/10/2015,455,122.30032,10.791153
MLGU,"Dumangas , Iloilo ",11/11/2015,12433,122.695547,10.84841
MLGU,"Brgy. Poblacion, Bingawan, Iloilo ",6/11/2015,13000,122.593828,11.205287
Banao Farmers Association Inc.,"Del Rosario, Banao, Iriga City, Camarines Sur",3/1/2012,150,123.453768,13.397597
Brgy. LGU,"Brgy. Panaytayan, Ragay, Camarines Sur",7/1/2005,200,122.782783,13.857558
Libmanan Culantura Prod. Cooperative,"San Isidro, Libmanan, Camarines Sur",2/1/2012,500,123.009949,13.667552
BLGU _ Sto. Nino,"San Antonio, Iriga City, Camarines Sur",6/1/2008,1896,123.41873,13.36644
"Gawad-Kalinga Libmanan, Puna Village, Libmanan","Sitio Pagara, GK Bahay, Libmanan, Camarines Sur",6/1/2010,2826,123.01757,13.657058
Gawad-Kalinga Cabusao Multipurpose Cooperative,"San Rafael, GK Village, Castillo, Cabusao, Camarines Sur",11/1/2008,1605,122.987569,13.700949
BLGU _ San Jose,"San Jose, Nabua, Camarines Sur",7/1/2009,1878,123.385081,13.411581
Nabua Development Multipurpose Cooperative,"Paloyon Proper, Nabua, Camarines Sur",12/1/2010,1200,123.378069,13.376234
Sto. Justina Farmers Irrigators Association,"Brgy. Sto. Justina West, Buhi, Camarines Sur",3/1/2010,2579,123.474877,13.401463
BLGU _ San Antonio,"San Antonio, Iriga City, Camarines Sur",6/1/2011,3369,123.41873,13.36644
BLGU _ Malawag,"Malawag, Nabua, Camarines Sur",12/1/2009,2881,123.2981,13.356694
 La Purisima Nabua Neighborhood Association (LABUNAFANE),"La Purisima, Nabua, Camarines Sur",6/1/2010,1468,123.278449,13.412338
San Antonio Farmers Irrigators Association Multipurpose Cooperative,"Brgy. San Antonio, Buhi, Camarines Sur",7/1/2010,4243,123.516512,13.435873
Bantay-Dagat Development Cooperative,"Brgy. BuenaviSto., Tinambac, Camarines Sur",12/1/2009,1780,123.40098,13.924191
MAPADABBA Ca Producers Cooperative,"Cagliliog, Tinambac, Camarines Sur",3/1/2012,1000,123.291082,13.900151
